connectorID,X,Y,Z,skeletonID,distribution
9364350,426170,233974,148640,4947529,Lateral
5073953,435621,234528,137840,8495810,Lateral
5073911,435321,235560,138880,1325965,Lateral
9214265,425785,231343,154840,1325528,Lateral
5073930,434994,235250,138240,867557,Lateral
9607436,435383,235049,137880,4947529,Lateral
9185043,424057,232152,157760,4947529,Lateral
7605039,436979,231120,146240,2977775,AnteriorMedialLateral
7603826,436700,231174,145920,874386,AnteriorMedialLateral
9183767,423724,231938,157960,292337,Lateral
25188896,436975,230517,145960,864634,AnteriorLateral
7600149,437034,229759,143640,4947529,AnteriorLateral
9093891,427517,234066,152800,4947529,AnteriorLateral
7597540,437113,229629,142560,1324080,AnteriorLateralSoma
14609739,434915,229903,141960,4030800,AnteriorMedialLateral
5072355,422062,238332,134560,874283,MedialLateral
8512558,425286,231035,154680,1316941,Lateral
20534316,421917,238790,134560,4030800,AnteriorMedialLateral
9599824,423788,238350,138080,4016547,AnteriorMedialLateral
10975784,423507,231681,157200,4034601,AnteriorMedialLateralSoma
9599567,423914,238053,137960,1060157,AnteriorMedialLateral
5518987,406611,231274,147560,1316630,Lateral
9599964,423857,238337,137520,874409,AnteriorMedialLateralSoma
5071685,423397,238218,136080,7955193,AnteriorMedialLateralSoma
8987976,406894,231380,147400,1316642,AnteriorMedialLateralSoma
9603714,424599,234840,135800,1060274,Lateral
9603693,424900,235481,136240,3847324,AnteriorLateralSoma
5070666,425073,236399,135920,4947529,AnteriorLateralSoma
9603662,425717,236605,134920,3626399,MedialLateral
26872986,433351,230908,147040,893079,Lateral
9506877,425860,236257,136800,1195729,AnteriorMedialLateralSoma
5072762,425535,236218,136760,4947529,AnteriorMedialLateralSoma
25030565,431102,236481,148680,8558489,AnteriorMedialLateralSoma
5068343,429702,233134,138440,874416,AnteriorLateralSoma
9603847,429340,232744,137440,308783,AnteriorLateral
5068166,430172,236538,138840,1316949,Lateral
5068026,430547,237668,139600,1199415,Lateral
10079642,431026,238217,140200,1325500,Lateral
9594778,431073,237221,139800,4947529,Lateral
5068126,430263,237077,139160,310396,Lateral
5078961,417552,229404,139680,4947529,Lateral
25882493,430783,235967,138760,1326072,AnteriorLateral
5067729,430770,235493,138840,873699,Lateral
25654670,416817,229859,139440,7870546,Lateral
25654409,416774,230105,139720,7870546,Lateral
14429995,414009,231565,149920,1317016,Lateral
25655061,416874,229631,139720,1316666,Lateral
14429980,413749,232364,149640,1316929,Lateral
25654112,415496,230621,140560,1319968,Lateral
14429978,413000,234042,149040,1108134,Lateral
5517185,416042,230254,140000,874203,Lateral
14429976,413002,233328,149400,5994549,Lateral
14680476,415773,229840,139840,874203,Lateral
14681742,415357,230084,139760,3762942,Lateral
14214936,423303,232598,149160,4030800,AnteriorMedialLateral
14680640,415680,230027,139680,1316578,MedialLateral
14681102,415770,230180,139720,1316994,Lateral
13776784,416766,229365,147200,874283,MedialLateral
5517226,415706,230373,140040,1316994,Lateral
14945433,412472,231612,149720,4947529,Lateral
13776364,412915,231024,149640,8293353,Lateral
25943333,414928,230156,139880,7979224,Lateral
13776367,412813,230855,149600,1316827,Lateral
25653121,417224,231147,139720,7870271,Lateral
5079466,417365,231276,140040,1195729,AnteriorMedialLateralSoma
14944856,412525,230579,149600,2909715,Lateral
25652728,416971,230419,140000,874203,Lateral
14945639,412064,230813,149560,1316593,Lateral
25652343,415902,232031,140120,1143458,Lateral
14680107,415978,231820,140360,1319968,Lateral
13517269,432353,232263,142720,8374798,Lateral
14680204,415639,231901,140240,1319968,Lateral
25651005,415863,232372,141360,3815708,Lateral
13496382,431885,234607,145520,1324497,Lateral
5524536,427303,233703,152200,4947529,Lateral
13495114,409115,231252,146720,3206540,Lateral
25609344,431709,233032,151200,1077585,Lateral
13479398,420883,234096,159000,4947529,Lateral
13479346,420831,233810,158720,1060201,Lateral
13479283,421467,232449,158680,4947529,Lateral
25608921,432513,233526,152320,4947529,Lateral
25608685,434145,233798,152280,1075688,MedialLateral
13388752,425884,230473,144880,3980980,AnteriorLateral
25591119,429411,235068,137680,1316949,Lateral
1677090,429724,234434,137440,277739,AnteriorMedialLateralSoma
15591831,428001,235445,137560,1326072,AnteriorLateral
5005497,437104,230937,139360,4034601,AnteriorMedialLateralSoma
5005495,436825,231711,140240,4947529,AnteriorMedialLateralSoma
5005485,436154,229492,141680,1165857,Medial
5005482,436110,229670,140280,1060322,Lateral
9293894,429091,235474,137760,4947529,Lateral
20036875,428907,235553,137800,4947529,Lateral
5116679,435562,228812,141160,2439409,AnteriorMedialLateralSoma
7387316,440256,229121,139720,7970381,AnteriorMedialLateralSoma
20036855,428499,235617,137880,4947529,AnteriorMedialLateralSoma
5005434,440811,228759,139720,1184203,AnteriorLateral
10088237,427039,236181,136840,1316578,MedialLateral
15177797,435621,239677,140880,1108134,Lateral
9602305,427287,237024,136840,277739,AnteriorMedialLateralSoma
25590950,425727,237793,137080,1316578,MedialLateral
9952186,434362,240291,141320,308338,Lateral
5072655,424875,238625,136840,4034601,AnteriorMedialLateralSoma
13255707,423797,232645,148480,1324847,AnteriorMedialLateral
16652162,422729,246930,135000,4512909,AnteriorLateralSoma
21085483,423422,232789,148760,1324419,MedialLateral
16763363,422231,246569,135040,8335165,MedialLateral
13255699,424200,233959,148640,2858438,AnteriorLateral
13255542,425729,230663,140480,4016205,AnteriorMedialLateralSoma
11592189,420581,246291,132040,4016205,AnteriorMedialLateralSoma
11592045,420306,247790,132800,2909578,AnteriorMedialLateral
25660423,420102,247574,133120,874386,AnteriorMedialLateral
11287519,433670,234907,139000,8132723,AnteriorMedialLateral
25671141,432866,234328,138240,7874978,AnteriorMedialLateral
1727127,427536,231503,139600,296639,Lateral
9835363,419420,247792,133960,874386,AnteriorMedialLateral
11591848,420032,247768,133840,4030800,AnteriorMedialLateral
25659813,420744,247801,133920,3847324,AnteriorLateralSoma
25660617,422022,248637,135160,2979094,AnteriorLateralSoma
11592581,421805,248200,135480,4440246,AnteriorLateralSoma
25660694,422251,248387,136080,4947529,AnteriorLateralSoma
5116939,439368,232263,142240,4016205,AnteriorMedialLateralSoma
5116910,439077,232556,140920,2439409,AnteriorMedialLateralSoma
12968698,427954,231615,138760,4016547,AnteriorMedialLateral
5116853,438852,232180,138080,1075715,Lateral
5116784,437970,232270,138640,1325636,Lateral
12968734,428214,231769,138880,874416,AnteriorLateralSoma
8509706,428942,231073,139200,8290639,AnteriorLateralSoma
12968418,433209,230808,139040,292771,Lateral
12968303,433279,231075,139000,858357,Lateral
25605484,437815,232266,138280,7923951,Lateral
5116781,437480,231347,138160,4947529,Lateral
12968275,432726,231124,138880,1108155,Lateral
12967797,430383,234556,137800,4034601,AnteriorMedialLateralSoma
7591311,435496,228473,141720,1165857,Medial
5116662,435387,228174,141280,2369058,MedialLateral
25661327,424904,249425,135960,4947529,MedialLateral
3716458,430644,234456,137840,873720,Lateral
13094889,432006,239785,135040,2973040,AnteriorLateralSoma
25672580,432748,232803,138000,7875340,AnteriorLateralSoma
10622991,433212,232714,137880,2909976,Lateral
13041937,432411,240738,134920,3844835,Lateral
10205150,433452,232807,137760,4947529,Lateral
16527663,423290,249202,136640,4016547,AnteriorMedialLateral
25672513,433273,232891,137800,1078501,AnteriorMedialLateralSoma
5114260,439568,234691,134320,1212742,Lateral
12967839,431315,232054,137800,308783,AnteriorLateral
10630007,432146,233765,137640,284703,Lateral
13500507,438978,234008,133840,1326072,AnteriorLateral
5114361,432931,232727,137560,1075715,Lateral
5072817,430100,232478,137560,4030800,AnteriorMedialLateral
3718730,434036,234113,136720,874312,Lateral
25175167,433847,232840,136800,4947529,Lateral
12840099,421432,231994,157360,3847324,AnteriorLateralSoma
12839802,425809,229838,156240,1078501,AnteriorMedialLateralSoma
12839438,427577,235673,144840,3072214,Lateral
12839416,427768,235830,144600,1199415,Lateral
12839318,423728,238293,134640,2416211,AnteriorMedialLateralSoma
12839289,423527,238628,134480,874283,MedialLateral
12839278,423450,238329,134760,874283,MedialLateral
12231852,412245,231617,149240,8293306,MedialLateral
12055694,431370,233759,151400,3474205,MedialLateralSoma
12037982,412818,231090,145120,1162547,Lateral
10197773,422726,231229,157400,4034601,AnteriorMedialLateralSoma
10975745,422817,231066,157360,867557,Lateral
4286532,432773,233095,135720,1060157,AnteriorMedialLateral
10197812,422627,231068,157120,1325636,Lateral
15179841,432296,233162,135400,867713,MedialLateral
10975735,422731,230943,157240,1326497,Lateral
10195595,433954,234294,145120,858357,Lateral
10195609,433766,234288,145040,284703,Lateral
10195550,431776,234626,145080,4034601,AnteriorMedialLateralSoma
14213263,433654,234631,145280,4030800,AnteriorMedialLateral
10195431,432880,234645,145360,1060221,Lateral
12839556,432707,234292,145240,1075715,Lateral
10195410,432899,234350,145480,1325025,Lateral
10195469,433293,234353,145440,284703,Lateral
11716351,431866,235553,147640,4947529,Lateral
10195256,431176,236794,148520,309385,Lateral
10195274,430795,236734,148680,284788,Lateral
10195233,431036,236322,148280,1316642,AnteriorMedialLateralSoma
10195159,429996,236017,148200,1075777,Lateral
10195178,430076,235616,148200,1060221,Lateral
10195240,430823,236722,148240,284788,Lateral
10195088,430693,236618,148040,1075777,Lateral
10195062,430380,235986,148000,4947529,Lateral
12062475,430612,235584,147960,2977775,AnteriorMedialLateral
10194968,431140,235668,147640,4947529,AnteriorMedialLateral
10194961,430780,235901,147640,1325025,Lateral
13496590,430952,235472,147400,4947529,Lateral
10194944,431069,235562,147320,4947529,Lateral
24876782,430202,235944,147160,7138957,Lateral
10194886,430410,235434,147000,1060221,Lateral
10194878,430198,235418,146880,1108155,Lateral
3605538,437072,231785,137080,285581,Lateral
10194843,430691,235455,146640,2858438,AnteriorLateral
13513676,434957,231597,139240,4947529,AnteriorLateral
24876916,430269,235545,146360,4947529,AnteriorLateral
10194823,430458,235681,146320,4947529,AnteriorLateral
1804998,435456,232034,138520,310806,Lateral
10194745,430482,235329,145920,1075741,Lateral
26741640,431763,234260,145680,308338,Lateral
25434923,436171,231831,138520,1326072,AnteriorLateral
25769392,431854,234106,145600,2909976,Lateral
10976174,430354,234219,145320,1060309,Lateral
10194608,430000,234581,145200,1325520,AnteriorLateral
10194613,430577,234298,145240,308338,Lateral
10194591,430518,234697,145120,4034601,AnteriorMedialLateralSoma
12839505,430191,234717,144600,1325636,Lateral
12839502,430168,234567,144760,1075741,Lateral
10194533,430358,234753,144840,873664,Lateral
10194584,430347,234028,145000,1077585,Lateral
12839516,429651,234169,145320,872672,Lateral
10177101,430651,235691,138960,2980141,Lateral
10176895,433664,234340,139440,4947529,Lateral
10173639,430758,234460,138920,6958818,Lateral
10171322,433843,233942,142080,1326615,Lateral
25883855,431342,236829,138000,1077484,Lateral
10015988,420868,234178,159320,3072214,Lateral
14435344,431598,235332,135200,7966666,Lateral
9609610,432074,237743,135720,7966463,Lateral
9609634,431606,237206,135720,1326615,Lateral
9609228,431815,236359,135800,1060175,Lateral
9608598,432644,233928,136240,2979094,AnteriorLateralSoma
9948701,412487,238358,150640,2909715,Lateral
5451091,433100,235595,136200,1060175,Lateral
9948644,412038,239090,150600,1316571,Lateral
9606086,431605,231838,136160,4261024,AnteriorLateral
16481067,411457,239476,150680,1319696,Lateral
9605933,432395,232115,136280,1060157,AnteriorMedialLateral
9949304,410956,239113,150280,898524,Lateral
9605757,431753,230107,137240,1075688,MedialLateral
9605705,432156,230981,137280,1316578,MedialLateral
25914818,410740,239038,150440,1316969,Lateral
9605614,431971,231331,137080,873664,Lateral
9605595,431855,231121,136960,8132814,Lateral
12785776,411585,241152,150520,308783,AnteriorLateral
9605261,432635,233553,136680,277739,AnteriorMedialLateralSoma
16471186,411610,240885,150160,3071217,Lateral
9949294,411776,239127,150280,5994549,Lateral
25687054,411530,242173,150240,1316722,Lateral
16471215,412062,241597,150160,4030800,AnteriorMedialLateral
9605011,427172,230753,136960,2973040,AnteriorLateralSoma
