,bodyid,type
534,5813010488,
535,2529318366,
536,1595853024,LPLC4
537,1007964729,
538,1348817469,
539,1624074309,LPLC4
540,5813011483,
541,2063325087,
542,2434171477,
543,913474046,
544,1374749593,
545,5812998641,LLPC1
546,1753695328,LC12
547,674108802,
548,1342350350,
549,1499912869,
550,1812838427,
551,1445104234,
552,2060431324,
553,2536134299,
554,1753700376,LC12
555,453320065,
556,641114676,
557,2121655378,
558,2375209620,
559,1656153289,LC17
560,1597748942,
561,2378261759,
562,1721605215,
563,1441253280,
564,2155851048,
565,1316432497,
566,1841650689,
567,1127924395,
568,1562054982,LC11
569,2367923124,
570,2118935033,
571,2033161263,
572,1478487190,
573,1811401061,LLPC2c
574,1013291042,
575,1843993943,
576,2196762812,
577,5813079288,
578,1166458109,
579,2466558043,
580,1812316962,
581,2151714065,
582,737218823,
583,1323402830,
584,1656157606,LC12
585,2182373321,
586,1387774133,
587,2349259950,
588,2310580111,
589,2345194123,
590,1473811820,
591,1448065033,
592,976221301,
593,1407148900,LC31
594,1498120574,
595,1290563000,
596,1839626098,
597,2192994458,
598,1481996688,
599,2151489683,
600,1730547962,
601,643679015,
602,2101935020,
603,734408687,
604,1787895282,
605,5812980289,
606,2222397330,
607,2215774797,
608,542068823,
609,2429647533,
610,2030229480,
611,1624315536,
612,2312130200,
613,735772860,
614,1260582361,
615,5813034310,LPC1
616,2437270609,
617,2534428848,
618,2409957306,
619,1817113079,LC17
620,5813038696,
621,852236918,
622,2409275147,JO-A/B/C
623,2565809064,
624,883462146,
625,1752090152,
626,5813000757,
627,1745855873,
628,1193214867,
629,977910262,
630,1503754813,
631,1839275750,
632,1325799415,
633,1905632454,
634,757055403,PB01
635,2508194988,JO-A/B/C
636,2247616746,
637,2181009440,
638,5901219320,
639,2307497515,
640,1628274418,
641,541628695,
642,1007735501,
643,1687977896,
644,1445743278,
645,2001932540,
646,5813058008,
647,1812485095,
648,5813058416,
649,5812998103,
650,767571751,
651,1876280875,
652,5812992468,LC17
653,2346523421,
654,418987009,
655,1783128580,
656,2182196710,
657,1159888263,
658,2468646683,
659,2213037431,
660,1074488949,
661,5813077478,
662,1599872317,
663,1497866471,
664,2503407013,
665,1970439129,
666,1170352367,
667,1344392982,LPLC1
668,1405784772,
669,542679122,
670,5812983952,
671,1717153009,LC12
672,2154442557,LC13
673,2494441314,
674,1134405199,
675,2398629177,
676,1652043674,
677,1258104594,
678,1654060102,
679,828455332,
680,2341623258,
681,1448794542,
682,2213422640,
683,1158644769,aMe5
684,2315483773,JO-A/B/C
685,1912647752,
686,1413744837,
687,5901203491,
688,5812997899,LLPC2c
689,5813038203,LC9
690,791427589,
691,1686932677,LPLC4
692,1849178917,LC17
693,1535885253,
694,1997338282,
695,5813032849,
696,1014392280,
697,1288790426,
698,1014004089,
699,1753583826,
700,2070222337,
701,1164374521,
702,1200247504,
703,1314674396,
704,921589471,
705,974839706,
706,1074493579,
707,2436235046,
708,1907946099,
709,1533338992,
710,1189847645,
711,1469905436,
712,2470339172,
713,672598344,
714,2158246363,
715,2058903434,
716,1014016610,
717,1665762714,
718,2122664921,
719,1347103812,
720,5813056020,
721,1222769755,
722,608922563,
723,1808236821,
724,2536138522,
725,694813336,
726,1546242545,
727,674807824,
728,1535086814,
729,635541640,
730,946019935,
731,1876147388,LPLC2
732,1383357828,
733,1720950695,LC6
734,1692462759,
735,1567058883,
736,1902347847,
737,1690266485,LC12
738,2376531125,
739,5813009996,
740,1225761499,
741,761325477,
742,5813053836,
743,1434781529,
744,1938536260,LC6
745,5813062096,LC22
746,1593022299,
747,732431788,
748,1385420918,
749,1188876873,
750,986089634,
751,890197225,
752,1162184490,
753,2378603112,
754,2529331614,
755,2654881900,
756,1225553531,
757,2090594532,
758,5813026589,
759,1721870688,
760,2156873528,
761,484355636,
762,1416796486,
763,1475529821,aMe5
764,1356173442,
765,2060297104,
766,1281324958,
767,1251287395,
768,2183366932,
769,762058745,
770,1477800608,
771,2243092694,
772,2432366254,
773,2125510409,
774,1811889085,
775,1313512559,
776,5813047683,
777,1565842444,LLPC2d
778,1535488185,
779,357944721,
780,861078616,
781,1776178848,
782,1167097258,LC6
783,2439300051,
784,1972032140,
785,5813048265,
786,1249595196,
787,1658449693,
788,2070917384,
789,989228019,FB05d
790,5813071354,
791,5813027050,
792,2532736732,
793,1125411720,PB02
794,5901193671,
795,1480982992,
796,1722338027,LC18
797,1998250011,LC31
798,1352676736,
799,1467859487,LC17
800,5812989689,LC18
801,1720705654,
802,1467720711,
803,1750289956,LC21
804,1067181068,
805,5813023093,
806,2212718142,
807,1751222259,
808,1321680157,
809,2495809710,
810,1684792826,
811,2058251748,
812,1478836448,
813,5812993220,LC12
814,2026521823,
815,1882053559,
816,1438304477,LC13
817,1781044455,LLPC2c
818,696233299,
819,1481547572,
820,1537130680,
821,2377566785,JO-A/B/C
822,5901211896,
823,1656688710,
824,2001396897,
825,1375759120,
826,1197571795,
827,5901193890,
828,912290165,
829,940804380,
830,1747518018,LC17
831,2117929003,
832,5813132712,
833,860551904,
834,5813022163,
835,416876055,
836,1012462312,
837,5813024922,
838,828144363,
839,1718918218,LC18
840,1663767674,
841,5813060163,LC17
842,1787398982,
843,2384064042,
844,2148238726,
845,5813001051,
846,1751761966,
847,2158229514,
848,5813023602,
849,883479122,
850,1413058496,
851,706499298,
852,2434084982,
853,2507154314,
854,1500762388,
855,1872016613,
856,1754042300,LC12
857,947923543,
858,5813068801,
859,5812980824,
860,1102407288,
861,1324028712,
862,1752089949,
863,1408085448,
864,1005861838,
865,2244434943,
866,5812986197,
867,2275836857,
868,5813049443,
869,827086517,
870,1630678886,
871,2066233599,
872,2534087947,JO-A/B/C
873,1596536024,LLPC2d
874,1284368643,
875,5812999946,
876,697580056,
877,2036178921,
878,1009980185,
879,5812980828,
880,1567107240,
881,1144756508,
882,1685828529,
883,2406538594,
884,2182019637,
885,2316900448,
886,1660339929,
887,1778700368,
888,5813038772,
889,792368888,MBON20
890,1625683773,
891,1446420611,
892,1221802845,
893,5813048055,
894,611352588,
895,608840926,
896,1437959040,LC13
897,2405946526,
898,5812999249,
899,2067533352,
900,976260443,
901,1716160320,
902,1660219098,LPLC1
903,645456880,
904,1562914723,
905,1506382974,
906,1355383564,
907,5813020828,MBON18
908,5813062871,
909,1257751245,
910,2567842583,
911,1284593049,
912,357249642,
913,5812991619,LC22
914,1005624122,
915,5813006296,JO-A/B/C
916,1625829992,
917,1628192050,LC12
918,576821609,
919,5813049102,
920,613083317,
921,765504308,
922,1228489539,
923,1745847773,
924,2087870450,
925,1225570584,
926,1189230639,
927,2025844101,
928,484005994,
929,1445522838,
930,945868812,
931,1682029198,
932,1542033633,
933,1567482594,LC15
934,1717183388,
935,1005542502,
936,1407134910,
937,2506118583,
938,5812999999,
939,1652371628,
940,2380277812,
941,1657945663,
942,1105178295,
943,2369654137,
944,5813061024,
945,2089946922,
946,944724233,
947,609993550,
948,1782201421,
949,1996958295,
950,1718861745,
951,1191264562,
952,453320347,
953,918973470,
954,2058566808,
955,2468655530,
956,1721758360,
957,613756703,
958,1231614730,LC6
959,1104755839,
960,1345092121,
961,5812982324,
962,1343709637,
963,2005894552,
964,2280408435,
965,1728536671,
966,2308534495,
967,423351806,
968,612703762,
969,1501708149,
970,1069809216,
971,1786232749,
972,5813054773,olfactory LN
973,2102643069,
974,800588608,
975,2503739809,
976,1257413391,
977,1256605576,
978,5812997141,LLPC3
979,1445379615,
980,2533734128,
981,1635112344,
982,5812993245,LC31
983,1479225338,
984,1791353247,
985,2183733056,
986,1753690966,
987,604460198,
988,2032431647,
989,1689864214,
990,1637171546,
991,1873211558,
992,1689256407,
993,766738741,
994,2367245277,
995,1734420152,mPN1
996,828463239,
997,1932756140,
998,1472650197,
999,5812988963,
1000,1931365944,
1001,1500922424,
1002,2307856185,
