,Anterior,Medial,Lateral,Descending,Soma,AnteriorMedial,AnteriorLateral,AnteriorSoma,AnteriorDescending,MedialLateral,MedialSoma,MedialDescending,LateralSoma,LateralDescending,SomaDescending,AnteriorMedialLateral,AnteriorMedialSoma,AnteriorMedialDescending,AnteriorLateralSoma,AnteriorLateralDescending,AnteriorSomaDescending,MedialLateralSoma,MedialLateralDescending,MedialSomaDescending,LateralSomaDescending,AnteriorMedialLateralSoma,AnteriorMedialLateralDescending,AnteriorMedialSomaDescending,AnteriorLateralSomaDescending,MedialLateralSomaDescending,AllBranches
SIP_L,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIP_R,0,3,3,0,1,0,0,0,0,1,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
SLP_L,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLP_R,0,13,2,0,1,0,0,0,0,1,2,0,0,0,0,5,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
SMP_L,0,7,2,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMP_R,0,21,3,0,1,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPS_L,34,35,41,0,13,1,11,0,1,10,8,1,0,0,0,9,0,0,3,0,0,4,0,0,0,4,0,0,0,0,0
SPS_R,35,45,54,0,13,2,19,0,1,10,12,1,0,0,0,11,1,0,4,0,0,3,0,0,0,7,0,0,0,0,0
VES_L,5,15,7,0,1,1,4,0,1,1,5,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
VES_R,41,28,16,1,6,1,13,0,2,4,6,0,0,0,0,11,1,0,2,0,0,3,0,0,0,6,0,0,0,0,0
WED_L,30,8,15,0,1,0,8,0,1,7,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
WED_R,161,12,64,1,4,2,36,0,2,3,4,0,1,0,0,17,1,0,8,0,0,2,0,0,0,11,0,0,0,0,0
