,0,1,2,3
22727576,416563.0,277451.0,86520.0,4120094
22726573,420389.0,284092.0,89800.0,6239868
22726449,420829.0,284716.0,90520.0,6239868
22719453,407864.0,293087.0,102840.0,5243934
22698923,424153.0,285249.0,101520.0,5287713
14469452,419363.0,288298.0,101280.0,3402380
22698535,421703.0,291011.0,102000.0,8255422
22696571,431546.0,283859.0,90200.0,6544974
24313228,432438.0,267094.0,108760.0,3785353
24303627,419202.0,279149.0,71200.0,1614934
24284027,431606.0,276156.0,95840.0,7431694
24257395,425468.0,278281.0,102400.0,7431992
23723753,420503.0,288645.0,114720.0,2799875
23723502,406134.0,285828.0,85680.0,3490054
25114165,420524.0,276621.0,66600.0,3747723
23789234,423509.0,291452.0,110560.0,7232135
24818520,420806.0,279147.0,121400.0,7602742
24810243,413406.0,283055.0,93520.0,5030884
22966467,415597.0,298526.0,109480.0,3516673
23641121,419275.0,293340.0,112560.0,2800178
24772874,418119.0,279476.0,123000.0,5307454
21321115,418278.0,279194.0,123000.0,3784732
23599829,416976.0,274598.0,104720.0,1055770
24743057,425446.0,278104.0,122800.0,7542082
24742983,424643.0,278463.0,122640.0,7542082
24741353,421019.0,289995.0,115320.0,7431694
24741216,421730.0,290907.0,115360.0,7431694
23250503,428234.0,277554.0,101960.0,7054109
24686326,414661.0,284630.0,80960.0,3747723
23146339,417328.0,277368.0,67240.0,1055770
23145336,413997.0,276901.0,67440.0,6239868
27683861,420933.0,276970.0,103520.0,5287713
24956263,426469.0,266151.0,111920.0,5073395
24956190,427481.0,266941.0,112200.0,7664963
24956142,427561.0,267145.0,112400.0,7664963
24956085,427265.0,266483.0,113760.0,7664963
24956063,426104.0,280768.0,103760.0,7168589
24956048,426487.0,266305.0,114400.0,7664963
24955927,430653.0,279748.0,104640.0,6543641
24955618,424276.0,276059.0,95840.0,4706795
24955559,425157.0,266845.0,117320.0,7664963
27679524,415743.0,276384.0,103680.0,1622804
27494352,424194.0,278800.0,115720.0,2800178
24896165,419512.0,277036.0,117000.0,7625058
24896096,420232.0,277041.0,116120.0,7625058
24895872,428807.0,280695.0,88720.0,7625026
24895047,428735.0,267307.0,110080.0,7625058
27359531,426306.0,268430.0,122160.0,3483710
16653000,418845.0,251618.0,130720.0,5056543
16656371,417681.0,250666.0,129760.0,5062738
24873942,418392.0,280326.0,112360.0,2798887
24873963,419010.0,280142.0,112560.0,4121368
14083079,419451.0,280227.0,113400.0,4121368
23144631,416961.0,278090.0,67200.0,5370648
23097400,419951.0,295107.0,112560.0,1622804
24564061,418250.0,276322.0,96600.0,6935684
23092892,421337.0,294447.0,120920.0,2798887
23092864,420945.0,294771.0,121760.0,1622804
24563249,418673.0,275214.0,54000.0,5295236
21671680,431671.0,281426.0,97360.0,6507301
21671475,434383.0,285238.0,91000.0,6507301
24542837,421786.0,273454.0,99520.0,7625058
21635119,413931.0,287484.0,111080.0,3784609
24542778,422702.0,273790.0,99840.0,7625058
