connectorID,X,Y,Z
9834467,427588.0,243883.0,142480.0
11149939,435141.0,239560.0,143680.0
9970818,429002.0,241196.0,143760.0
9970655,429414.0,241980.0,144320.0
9919151,429407.0,241050.0,146440.0
9940400,409035.0,235477.0,159640.0
9834470,427540.0,243908.0,142520.0
5005636,437225.0,230013.0,143640.0
11294006,433201.0,239666.0,142960.0
9918699,432510.0,241986.0,144000.0
9971873,433233.0,242090.0,146440.0
9826528,437910.0,237214.0,136880.0
10974332,431475.0,232022.0,144720.0
10974318,431312.0,232051.0,145440.0
9834809,429035.0,241379.0,140640.0
9974261,433488.0,239685.0,146520.0
9919043,430128.0,242601.0,145160.0
9918809,429693.0,243950.0,144760.0
10515176,435379.0,239904.0,140640.0
9918793,431108.0,242333.0,144880.0
15375449,408852.0,240626.0,156680.0
9968929,429645.0,240951.0,148640.0
10057991,441076.0,237889.0,138680.0
9293323,438735.0,232342.0,137680.0
9293238,436836.0,233706.0,138440.0
9293790,428509.0,235721.0,140120.0
9188408,425786.0,230434.0,155960.0
9187764,434106.0,231409.0,145160.0
9187731,434818.0,231657.0,145520.0
9187278,431380.0,233531.0,152080.0
9439273,431890.0,237815.0,136160.0
5523381,425312.0,232120.0,154240.0
4287196,433216.0,233653.0,152480.0
5073729,434668.0,236267.0,135400.0
5073662,434344.0,235591.0,137280.0
4576471,436838.0,233707.0,138360.0
4576463,437671.0,233621.0,137680.0
4474172,438622.0,232298.0,138760.0
1777992,435013.0,231286.0,139040.0
4577094,436106.0,234022.0,138840.0
1672434,435914.0,233293.0,138920.0
1672382,436755.0,232909.0,137080.0
1671939,439305.0,233767.0,136360.0
9929613,435907.0,238188.0,141160.0
9927555,429673.0,242125.0,146640.0
9927553,429682.0,242108.0,146520.0
9927466,432497.0,241997.0,144080.0
9918651,433359.0,241863.0,143560.0
9824472,435196.0,239723.0,139000.0
12930682,437264.0,240544.0,138200.0
12930884,437540.0,240775.0,137200.0
12930932,437799.0,240912.0,136600.0
12930820,437376.0,240645.0,137680.0
12930787,437368.0,240630.0,137720.0
9825198,436628.0,236914.0,135440.0
12930880,437545.0,240756.0,137240.0
12931020,437688.0,240696.0,136360.0
